unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1.6489E+12,4/2/2022 13:00,MATIC/USD,1.70726,1.72271,1.70726,1.71222,25055.79205,42901.02826
1.64891E+12,4/2/2022 14:00,MATIC/USD,1.71222,1.71363,1.69528,1.70216,21890.70252,37261.47819
1.64891E+12,4/2/2022 15:00,MATIC/USD,1.70216,1.70216,1.66637,1.67621,83188.97053,139442.1843
1.64892E+12,4/2/2022 16:00,MATIC/USD,1.67621,1.68837,1.66952,1.68161,15211.42095,25579.67759
1.64892E+12,4/2/2022 17:00,MATIC/USD,1.68161,1.69268,1.67573,1.6874,47992.0169,80981.72932
1.64892E+12,4/2/2022 18:00,MATIC/USD,1.6874,1.68871,1.65457,1.66393,40204.27855,66897.10521
1.64893E+12,4/2/2022 19:00,MATIC/USD,1.66393,1.67244,1.66171,1.6714,20783.47299,34737.49676
1.64893E+12,4/2/2022 20:00,MATIC/USD,1.6714,1.68273,1.66165,1.68271,30039.40165,50547.60154
1.64893E+12,4/2/2022 21:00,MATIC/USD,1.68271,1.6867,1.6758,1.68458,8787.003795,14802.41085
1.64894E+12,4/2/2022 22:00,MATIC/USD,1.68458,1.68966,1.67563,1.68019,5471.455965,9193.085598
1.64894E+12,4/2/2022 23:00,MATIC/USD,1.68019,1.68091,1.64875,1.65306,71584.227,118333.0223
1.64894E+12,4/3/2022 0:00,MATIC/USD,1.65306,1.66858,1.65239,1.66525,27756.01596,46220.70558
1.64895E+12,4/3/2022 1:00,MATIC/USD,1.66525,1.66588,1.63349,1.65001,33246.22752,54856.60788
1.64895E+12,4/3/2022 2:00,MATIC/USD,1.65001,1.65936,1.64471,1.6472,13366.1477,22016.71849
1.64895E+12,4/3/2022 3:00,MATIC/USD,1.6472,1.67085,1.64403,1.66373,16442.17978,27355.34777
1.64896E+12,4/3/2022 4:00,MATIC/USD,1.66373,1.67837,1.66373,1.67724,20609.80793,34567.59424
1.64896E+12,4/3/2022 5:00,MATIC/USD,1.67724,1.68357,1.67479,1.68232,54527.88659,91733.35417
1.64897E+12,4/3/2022 6:00,MATIC/USD,1.68232,1.68966,1.67869,1.6896,22062.61137,37276.98817
1.64897E+12,4/3/2022 7:00,MATIC/USD,1.6896,1.69689,1.68126,1.69128,99163.45175,167713.1627
1.64897E+12,4/3/2022 8:00,MATIC/USD,1.69128,1.69802,1.67634,1.67776,32296.14852,54185.18615
1.64898E+12,4/3/2022 9:00,MATIC/USD,1.67776,1.68902,1.67185,1.68067,14142.59461,23769.03449
1.64898E+12,4/3/2022 10:00,MATIC/USD,1.68067,1.6865,1.67362,1.67396,14093.82395,23592.49754
1.64898E+12,4/3/2022 11:00,MATIC/USD,1.67396,1.68501,1.66775,1.6826,20636.1895,34722.45245
1.64899E+12,4/3/2022 12:00,MATIC/USD,1.6826,1.68752,1.67477,1.68169,48398.3128,81390.95865
1.64899E+12,4/3/2022 13:00,MATIC/USD,1.68169,1.68926,1.67778,1.68369,27981.45506,47112.09607
1.64899E+12,4/3/2022 14:00,MATIC/USD,1.68369,1.68532,1.67296,1.68431,36776.64454,61943.27017
1.649E+12,4/3/2022 15:00,MATIC/USD,1.68431,1.69929,1.68431,1.69071,26046.60043,44037.24781
1.649E+12,4/3/2022 16:00,MATIC/USD,1.69071,1.69678,1.68153,1.68589,31667.66456,53388.199
1.64901E+12,4/3/2022 17:00,MATIC/USD,1.68589,1.68825,1.66888,1.67192,103738.6513,173442.7259
1.64901E+12,4/3/2022 18:00,MATIC/USD,1.67192,1.67622,1.66227,1.67,19906.45701,33243.78321
1.64901E+12,4/3/2022 19:00,MATIC/USD,1.67,1.67658,1.66418,1.67257,107880.1161,180437.0458
1.64902E+12,4/3/2022 20:00,MATIC/USD,1.67257,1.67692,1.6689,1.6689,21483.73337,35854.20262
