unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,
1484020800,10-Jan-17,BTC/USD,907.51,913.99,900.38,913.98,2220.92915,2029884.825,10-Jan-17
1484107200,11-Jan-17,BTC/USD,913.98,924.02,752,776.02,8061.82807,6256139.819,11-Jan-17
1484193600,12-Jan-17,BTC/USD,776.02,832.15,756.01,790.1,3659.897428,2891684.958,12-Jan-17
1484280000,13-Jan-17,BTC/USD,790.1,839.78,777.91,819.27,3878.577916,3177602.529,13-Jan-17
1484366400,14-Jan-17,BTC/USD,819.27,835,815,827.85,560.1391316,463711.1801,14-Jan-17
1484452800,15-Jan-17,BTC/USD,827.85,837.56,812,836.58,538.6778894,450647.1487,15-Jan-17
1484539200,16-Jan-17,BTC/USD,836.58,852.78,822.53,852.77,933.0780245,795700.947,16-Jan-17
1484625600,17-Jan-17,BTC/USD,852.77,916.89,852.77,892.54,4659.735908,4159000.687,17-Jan-17
1484712000,18-Jan-17,BTC/USD,892.54,901.99,851.39,890.83,2920.756068,2601897.128,18-Jan-17
1484798400,19-Jan-17,BTC/USD,890.83,908.97,884.74,901.56,2914.76509,2627835.615,19-Jan-17
1484884800,20-Jan-17,BTC/USD,901.56,925.33,885.01,925.33,3374.074537,3122132.391,20-Jan-17
1484971200,21-Jan-17,BTC/USD,925.33,940.42,914.23,937.9,899.4079266,843554.6944,21-Jan-17
1485057600,22-Jan-17,BTC/USD,937.9,939.3,895.51,923.22,1105.528869,1020646.363,22-Jan-17
1485144000,23-Jan-17,BTC/USD,923.22,928,890.02,912.72,3220.709767,2939606.218,23-Jan-17
1485230400,24-Jan-17,BTC/USD,912.72,925.09,882.01,898.46,3417.810972,3070766.446,24-Jan-17
1485316800,25-Jan-17,BTC/USD,898.46,901.99,884.88,901.55,2414.395457,2176698.224,25-Jan-17
1485403200,26-Jan-17,BTC/USD,901.55,922,896.01,915.43,1986.487907,1818490.624,26-Jan-17
1485489600,27-Jan-17,BTC/USD,915.43,924.88,909.97,921.73,2132.971179,1966023.524,27-Jan-17
1485576000,28-Jan-17,BTC/USD,921.73,922.99,918.78,922.99,394.7805306,364378.4819,28-Jan-17
1485662400,29-Jan-17,BTC/USD,922.99,922.99,912.01,919.48,365.9801045,336511.3865,29-Jan-17
1485748800,30-Jan-17,BTC/USD,919.48,923.99,917.39,923.99,1608.005001,1485780.541,30-Jan-17
1485835200,31-Jan-17,BTC/USD,923.99,978.97,922.87,973.04,2065.829595,2010134.829,31-Jan-17
1485921600,1-Feb-17,BTC/USD,973.04,990,962.35,980.48,2549.246222,2499484.936,1-Feb-17
1486008000,2-Feb-17,BTC/USD,980.48,1020.23,980.48,1020.06,3198.136583,3262291.202,2-Feb-17
1486094400,3-Feb-17,BTC/USD,1020.06,1024,995.98,1010.81,3855.992334,3897675.611,3-Feb-17
1486180800,4-Feb-17,BTC/USD,1010.81,1041.97,1005.01,1028.9,1138.952524,1171868.252,4-Feb-17
1486267200,5-Feb-17,BTC/USD,1028.9,1029.96,998.88,1016.95,1168.598427,1188406.17,5-Feb-17
1486353600,6-Feb-17,BTC/USD,1016.95,1028.12,1015.03,1026.99,3369.558814,3460503.206,6-Feb-17
1486440000,7-Feb-17,BTC/USD,1026.99,1068.64,1026.98,1068.62,3173.163408,3390905.881,7-Feb-17
1486526400,8-Feb-17,BTC/USD,1068.62,1072.19,1023.58,1072.19,3340.381408,3581523.542,8-Feb-17
1486612800,9-Feb-17,BTC/USD,1072.19,1079.99,948.22,979.96,7697.720839,7543458.514,9-Feb-17
