unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1.66827E+12,11/12/2022 15:00,SOL/USD,15.071,15.156,14.82,14.938,690.556382,10315.53123
1.66827E+12,11/12/2022 16:00,SOL/USD,14.938,14.997,14.749,14.974,1360.101475,20366.15949
1.66827E+12,11/12/2022 17:00,SOL/USD,14.974,15.233,14.873,15.173,280.321598,4253.319606
1.66828E+12,11/12/2022 18:00,SOL/USD,15.173,15.173,14.867,15.157,1407.480754,21333.18579
1.66828E+12,11/12/2022 19:00,SOL/USD,15.157,15.233,14.986,15.088,1447.436787,21838.92624
1.66828E+12,11/12/2022 20:00,SOL/USD,15.088,15.108,14.631,14.689,5516.908013,81037.8618
1.66829E+12,11/12/2022 21:00,SOL/USD,14.689,14.877,14.61,14.644,998.090702,14616.04024
1.66829E+12,11/12/2022 22:00,SOL/USD,14.644,14.878,14.614,14.745,1267.755771,18693.05884
1.66829E+12,11/12/2022 23:00,SOL/USD,14.745,14.784,14.341,14.477,1098.257103,15899.46808
1.6683E+12,11/13/2022 0:00,SOL/USD,14.477,14.64,14.14,14.274,7284.996617,103986.0417
1.6683E+12,11/13/2022 1:00,SOL/USD,14.274,14.351,13.934,14.12,2768.691629,39093.9258
1.6683E+12,11/13/2022 2:00,SOL/USD,14.12,14.386,13.975,14.283,2321.062374,33151.73389
1.66831E+12,11/13/2022 3:00,SOL/USD,14.283,14.585,14.247,14.482,291.399265,4220.044156
1.66831E+12,11/13/2022 4:00,SOL/USD,14.482,14.657,14.286,14.319,713.512238,10216.78174
1.66832E+12,11/13/2022 5:00,SOL/USD,14.319,14.625,14.266,14.459,519.415348,7510.226517
1.66832E+12,11/13/2022 6:00,SOL/USD,14.459,14.516,13.74,13.764,1170.601126,16112.1539
1.66832E+12,11/13/2022 7:00,SOL/USD,13.764,14.045,13.555,13.956,827.666387,11550.9121
1.66833E+12,11/13/2022 8:00,SOL/USD,13.956,13.976,13.44,13.44,1583.787314,21286.1015
1.66833E+12,11/13/2022 9:00,SOL/USD,13.44,13.616,13.243,13.267,1997.115351,26495.72936
1.66833E+12,11/13/2022 10:00,SOL/USD,13.267,13.603,13.175,13.512,1010.991449,13660.51646
1.66834E+12,11/13/2022 11:00,SOL/USD,13.512,13.776,13.404,13.776,966.635204,13316.36657
1.66834E+12,11/13/2022 12:00,SOL/USD,13.776,13.786,13.412,13.672,1109.779024,15172.89882
1.66834E+12,11/13/2022 13:00,SOL/USD,13.672,14.293,13.523,13.983,1844.428553,25790.64446
1.66835E+12,11/13/2022 14:00,SOL/USD,13.983,14.141,13.612,13.805,1776.370626,24522.79649
1.66835E+12,11/13/2022 15:00,SOL/USD,13.805,14.025,13.629,14.025,3311.058322,46437.59297
1.66836E+12,11/13/2022 16:00,SOL/USD,14.025,14.146,13.727,14.064,4828.19216,67903.69454
1.66836E+12,11/13/2022 17:00,SOL/USD,14.064,14.067,13.537,13.86,7487.909566,103782.4266
1.66836E+12,11/13/2022 18:00,SOL/USD,13.86,13.91,13.645,13.754,799.216678,10992.42619
1.66837E+12,11/13/2022 19:00,SOL/USD,13.754,14.002,13.688,13.994,1028.787202,14396.8481
1.66837E+12,11/13/2022 20:00,SOL/USD,13.994,14.012,13.77,13.77,727.898918,10023.1681
1.66837E+12,11/13/2022 21:00,SOL/USD,13.77,13.86,13.4,13.596,1616.799786,21982.00989
1.66838E+12,11/13/2022 22:00,SOL/USD,13.596,13.861,13.535,13.861,2840.796904,39376.28589
1.66838E+12,11/13/2022 23:00,SOL/USD,13.861,13.861,13.101,13.176,1598.559772,21062.62356
1.66838E+12,11/14/2022 0:00,SOL/USD,13.176,13.2,12.67,12.848,11222.72414,144189.5597
1.66839E+12,11/14/2022 1:00,SOL/USD,12.848,12.848,12.158,12.5,11796.96494,147462.0618
1.66839E+12,11/14/2022 2:00,SOL/USD,12.5,12.55,12.01,12.516,4815.972617,60276.71327
